Путь,Категории,Кол-во,УЗ,Формат,Рекомендации
Прочее\3 сентября EduNet.pdf,"standard_fio: 8, standard_phone: 1, standard_email: 2, standard_dob: 1, standard_address: 7, payment_cvv: 8, special_health: 4",31,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\37.04.01.pdf,"standard_fio: 1, standard_address: 28, payment_cvv: 77, special_health: 4",110,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\37.04.02.pdf,"standard_address: 2, payment_cvv: 27, special_health: 6",35,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\38.04.01.pdf,"standard_address: 8, payment_cvv: 1",9,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\38.04.01_Economics.pdf,payment_cvv: 1,1,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\38.04.02.pdf,"standard_address: 5, payment_cvv: 20, special_health: 2",27,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\38.04.02_ETP.pdf,payment_cvv: 12,12,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\38.04.03.pdf,"standard_address: 5, payment_cvv: 18, special_health: 2",25,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\38.04.08.pdf,"standard_dob: 3, standard_address: 12, payment_cvv: 20, special_health: 4",39,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\39.04.02.pdf,"standard_fio: 8, standard_address: 3, payment_cvv: 7, special_health: 3",21,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\4.1.3.pdf,standard_address: 3,3,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\4.3.5.pdf,"standard_address: 7, special_health: 3",10,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\40_04_01_program_mag_2025.pdf,"standard_fio: 4, standard_dob: 4, standard_address: 34, payment_cvv: 12, special_religion: 1",55,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\41.04.04.pdf,"standard_address: 5, payment_cvv: 25, special_health: 7, special_race: 4",41,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\41.04.05.pdf,"standard_fio: 8, standard_address: 26, payment_cvv: 10, special_health: 1",45,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\41.04.05_International_Communication.pdf,"standard_phone: 1, standard_address: 5, payment_cvv: 25, special_health: 1",32,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\42.pdf,"standard_fio: 6, standard_email: 8, standard_dob: 2, standard_address: 4, payment_cvv: 54, special_health: 5",79,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\43.04.01_programm_mag_2025.pdf,"standard_fio: 1, standard_address: 13, payment_cvv: 13, special_health: 2",29,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\43.04.02.pdf,"standard_dob: 2, standard_address: 5, payment_cvv: 14, special_health: 3",24,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_177.pdf,"standard_fio: 1, standard_address: 6, payment_cvv: 13, special_health: 1",21,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_inkl.pdf,"standard_address: 6, payment_cvv: 4, special_health: 2",12,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_innov.pdf,"standard_address: 4, payment_cvv: 5, special_health: 3",12,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_issled.pdf,"standard_address: 5, payment_cvv: 16, special_health: 1",22,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_ist.pdf,"standard_fio: 5, standard_dob: 2, standard_address: 14, payment_cvv: 7",28,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_nast.pdf,"standard_address: 6, payment_cvv: 4, special_health: 3",13,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_ped_nach.pdf,"standard_address: 6, payment_cvv: 6",12,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_ph_obr.pdf,"standard_address: 10, payment_cvv: 5",15,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_rukov.pdf,"standard_address: 4, payment_cvv: 12",16,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\44.04.01_soc_ped.pdf,"standard_address: 4, payment_cvv: 11",15,УЗ-2,.pdf,AES-256 + RBAC + Аудит
